id,input_stage,geometry_stage,refinement_stage,cleanup_stage,status,runnable_now,why,rank,score,priority,rationale
sync_keyframes-colmap_pairs-gsplat_2k-none,sync_keyframes,colmap_pairs,gsplat_2k,none,partial,False,valid,1,100,next,partial readiness; uses synchronized multi-view structure; reduces matching work; preview-quality refinement budget; keeps evaluation faithful; natural first multi-view experiment
sync_keyframes-colmap_pairs-gsplat_1k-none,sync_keyframes,colmap_pairs,gsplat_1k,none,partial,False,valid,2,97,next,partial readiness; uses synchronized multi-view structure; reduces matching work; fastest current refinement; keeps evaluation faithful; natural first multi-view experiment
sync_keyframes-colmap_pairs-gsplat_7k-none,sync_keyframes,colmap_pairs,gsplat_7k,none,partial,False,valid,3,93,next,partial readiness; uses synchronized multi-view structure; reduces matching work; slower quality baseline; keeps evaluation faithful; natural first multi-view experiment
sync_keyframes-colmap_pairs-fastgs_100s-none,sync_keyframes,colmap_pairs,fastgs_100s,none,external,False,valid,4,90,high,external readiness; uses synchronized multi-view structure; reduces matching work; promising training accelerator; keeps evaluation faithful; natural first multi-view experiment
fixed_rig_sync-fixed_rig_trajectory-fastgs_100s-none,fixed_rig_sync,fixed_rig_trajectory,fastgs_100s,none,planned,False,valid,5,90,high,planned readiness; uses synchronized multi-view structure; best fit for fixed cameras; promising training accelerator; keeps evaluation faithful; highest fixed-rig upside
fixed_rig_sync-fixed_rig_trajectory-gsplat_2k-none,fixed_rig_sync,fixed_rig_trajectory,gsplat_2k,none,planned,False,valid,6,89,high,planned readiness; uses synchronized multi-view structure; best fit for fixed cameras; preview-quality refinement budget; keeps evaluation faithful; highest fixed-rig upside
sync_keyframes-colmap_pairs-gsplat_2k-difix_distill,sync_keyframes,colmap_pairs,gsplat_2k,difix_distill,external,False,valid,7,88,high,external readiness; uses synchronized multi-view structure; reduces matching work; preview-quality refinement budget; tests diffusion distillation; natural first multi-view experiment; cleanup is most useful after quick coarse splats; distillation adds another training loop
fixed_rig_sync-fixed_rig_trajectory-gsplat_2k-difix_distill,fixed_rig_sync,fixed_rig_trajectory,gsplat_2k,difix_distill,planned,False,valid,8,88,high,planned readiness; uses synchronized multi-view structure; best fit for fixed cameras; preview-quality refinement budget; tests diffusion distillation; highest fixed-rig upside; cleanup is most useful after quick coarse splats; distillation adds another training loop
sync_keyframes-colmap_pairs-fastgs_100s-difix_inference,sync_keyframes,colmap_pairs,fastgs_100s,difix_inference,external,False,valid,9,87,high,external readiness; uses synchronized multi-view structure; reduces matching work; promising training accelerator; tests diffusion view cleanup; natural first multi-view experiment
fixed_rig_sync-fixed_rig_trajectory-fastgs_100s-difix_inference,fixed_rig_sync,fixed_rig_trajectory,fastgs_100s,difix_inference,planned,False,valid,10,87,high,planned readiness; uses synchronized multi-view structure; best fit for fixed cameras; promising training accelerator; tests diffusion view cleanup; highest fixed-rig upside
sync_keyframes-colmap_pairs-fastgs_100s-difix_distill,sync_keyframes,colmap_pairs,fastgs_100s,difix_distill,external,False,valid,11,86,high,external readiness; uses synchronized multi-view structure; reduces matching work; promising training accelerator; tests diffusion distillation; natural first multi-view experiment; distillation adds another training loop
sync_keyframes-colmap_pairs-gsplat_2k-difix_inference,sync_keyframes,colmap_pairs,gsplat_2k,difix_inference,external,False,valid,12,86,high,external readiness; uses synchronized multi-view structure; reduces matching work; preview-quality refinement budget; tests diffusion view cleanup; natural first multi-view experiment
fixed_rig_sync-fixed_rig_trajectory-fastgs_100s-difix_distill,fixed_rig_sync,fixed_rig_trajectory,fastgs_100s,difix_distill,planned,False,valid,13,86,high,planned readiness; uses synchronized multi-view structure; best fit for fixed cameras; promising training accelerator; tests diffusion distillation; highest fixed-rig upside; distillation adds another training loop
fixed_rig_sync-fixed_rig_trajectory-gsplat_1k-none,fixed_rig_sync,fixed_rig_trajectory,gsplat_1k,none,planned,False,valid,14,86,high,planned readiness; uses synchronized multi-view structure; best fit for fixed cameras; fastest current refinement; keeps evaluation faithful; highest fixed-rig upside
fixed_rig_sync-fixed_rig_trajectory-gsplat_2k-difix_inference,fixed_rig_sync,fixed_rig_trajectory,gsplat_2k,difix_inference,planned,False,valid,15,86,high,planned readiness; uses synchronized multi-view structure; best fit for fixed cameras; preview-quality refinement budget; tests diffusion view cleanup; highest fixed-rig upside
sync_keyframes-colmap_pairs-gsplat_1k-difix_distill,sync_keyframes,colmap_pairs,gsplat_1k,difix_distill,external,False,valid,16,85,high,external readiness; uses synchronized multi-view structure; reduces matching work; fastest current refinement; tests diffusion distillation; natural first multi-view experiment; cleanup is most useful after quick coarse splats; distillation adds another training loop
fixed_rig_sync-fixed_rig_trajectory-gsplat_1k-difix_distill,fixed_rig_sync,fixed_rig_trajectory,gsplat_1k,difix_distill,planned,False,valid,17,85,high,planned readiness; uses synchronized multi-view structure; best fit for fixed cameras; fastest current refinement; tests diffusion distillation; highest fixed-rig upside; cleanup is most useful after quick coarse splats; distillation adds another training loop
sync_keyframes-colmap_pairs-gsplat_1k-difix_inference,sync_keyframes,colmap_pairs,gsplat_1k,difix_inference,external,False,valid,18,83,high,external readiness; uses synchronized multi-view structure; reduces matching work; fastest current refinement; tests diffusion view cleanup; natural first multi-view experiment
fixed_rig_sync-fixed_rig_trajectory-gsplat_1k-difix_inference,fixed_rig_sync,fixed_rig_trajectory,gsplat_1k,difix_inference,planned,False,valid,19,83,high,planned readiness; uses synchronized multi-view structure; best fit for fixed cameras; fastest current refinement; tests diffusion view cleanup; highest fixed-rig upside
sync_keyframes-vggt_geometry-fastgs_100s-none,sync_keyframes,vggt_geometry,fastgs_100s,none,external,False,valid,20,82,high,external readiness; uses synchronized multi-view structure; tests feed-forward geometry; promising training accelerator; keeps evaluation faithful; feed-forward model gets structured multi-view input
fixed_rig_sync-fixed_rig_trajectory-gsplat_7k-none,fixed_rig_sync,fixed_rig_trajectory,gsplat_7k,none,planned,False,valid,21,82,high,planned readiness; uses synchronized multi-view structure; best fit for fixed cameras; slower quality baseline; keeps evaluation faithful; highest fixed-rig upside
sync_keyframes-feedforward_gs-fastgs_100s-none,sync_keyframes,feedforward_gs,fastgs_100s,none,external,False,valid,22,81,high,external readiness; uses synchronized multi-view structure; tests feed-forward geometry; promising training accelerator; keeps evaluation faithful; feed-forward model gets structured multi-view input
sync_keyframes-instantsplat_init-fastgs_100s-none,sync_keyframes,instantsplat_init,fastgs_100s,none,external,False,valid,23,81,high,external readiness; uses synchronized multi-view structure; tests feed-forward geometry; promising training accelerator; keeps evaluation faithful; feed-forward model gets structured multi-view input
sync_keyframes-vggt_geometry-gsplat_2k-none,sync_keyframes,vggt_geometry,gsplat_2k,none,external,False,valid,24,81,high,external readiness; uses synchronized multi-view structure; tests feed-forward geometry; preview-quality refinement budget; keeps evaluation faithful; feed-forward model gets structured multi-view input
sync_keyframes-colmap_auto-gsplat_2k-none,sync_keyframes,colmap_auto,gsplat_2k,none,partial,False,valid,25,80,high,partial readiness; uses synchronized multi-view structure; preview-quality refinement budget; keeps evaluation faithful
sync_keyframes-feedforward_gs-gsplat_2k-none,sync_keyframes,feedforward_gs,gsplat_2k,none,external,False,valid,26,80,high,external readiness; uses synchronized multi-view structure; tests feed-forward geometry; preview-quality refinement budget; keeps evaluation faithful; feed-forward model gets structured multi-view input
sync_keyframes-instantsplat_init-gsplat_2k-none,sync_keyframes,instantsplat_init,gsplat_2k,none,external,False,valid,27,80,high,external readiness; uses synchronized multi-view structure; tests feed-forward geometry; preview-quality refinement budget; keeps evaluation faithful; feed-forward model gets structured multi-view input
sync_keyframes-vggt_geometry-gsplat_2k-difix_distill,sync_keyframes,vggt_geometry,gsplat_2k,difix_distill,external,False,valid,28,80,high,external readiness; uses synchronized multi-view structure; tests feed-forward geometry; preview-quality refinement budget; tests diffusion distillation; feed-forward model gets structured multi-view input; cleanup is most useful after quick coarse splats; distillation adds another training loop
fixed_rig_sync-vggt_geometry-fastgs_100s-none,fixed_rig_sync,vggt_geometry,fastgs_100s,none,planned,False,valid,29,80,high,planned readiness; uses synchronized multi-view structure; tests feed-forward geometry; promising training accelerator; keeps evaluation faithful; feed-forward model gets structured multi-view input
sync_keyframes-feedforward_gs-gsplat_2k-difix_distill,sync_keyframes,feedforward_gs,gsplat_2k,difix_distill,external,False,valid,30,79,high,external readiness; uses synchronized multi-view structure; tests feed-forward geometry; preview-quality refinement budget; tests diffusion distillation; feed-forward model gets structured multi-view input; cleanup is most useful after quick coarse splats; distillation adds another training loop
